date,home,away
27.08. 10:30,Great Britain,Lithuania
27.08. 11:45,Czech Republic,Portugal
27.08. 13:30,Montenegro,Germany
27.08. 15:00,Latvia,Turkey
27.08. 17:30,Sweden,Finland
27.08. 18:15,Serbia,Estonia
28.08. 12:00,Georgia,Spain
28.08. 12:00,Israel,Iceland
28.08. 15:00,Belgium,France
28.08. 15:15,Bosnia & Herzegovina,Cyprus
28.08. 18:30,Greece,Italy
28.08. 18:30,Slovenia,Poland
29.08. 10:30,Germany,Sweden
29.08. 11:45,Turkey,Czech Republic
29.08. 13:30,Lithuania,Montenegro
29.08. 15:00,Estonia,Latvia
29.08. 17:30,Finland,Great Britain
29.08. 18:15,Portugal,Serbia
30.08. 10:30,Lithuania,Germany
30.08. 11:45,Czech Republic,Estonia
30.08. 12:00,Iceland,Belgium
30.08. 12:00,Italy,Georgia
30.08. 13:30,Great Britain,Sweden
30.08. 15:00,France,Slovenia
30.08. 15:00,Latvia,Serbia
30.08. 15:15,Cyprus,Greece
30.08. 17:30,Montenegro,Finland
30.08. 18:15,Turkey,Portugal
30.08. 18:30,Poland,Israel
30.08. 18:30,Spain,Bosnia & Herzegovina
31.08. 12:00,Georgia,Greece
31.08. 12:00,Slovenia,Belgium
31.08. 15:00,Israel,France
31.08. 15:15,Spain,Cyprus
31.08. 18:30,Bosnia & Herzegovina,Italy
31.08. 18:30,Poland,Iceland
01.09. 10:30,Sweden,Montenegro
01.09. 11:45,Estonia,Turkey
01.09. 13:30,Germany,Great Britain
01.09. 15:00,Portugal,Latvia
01.09. 17:30,Finland,Lithuania
01.09. 18:15,Serbia,Czech Republic
02.09. 12:00,Belgium,Israel
02.09. 12:00,Greece,Bosnia & Herzegovina
02.09. 15:00,Iceland,Slovenia
02.09. 15:15,Cyprus,Georgia
02.09. 18:30,France,Poland
02.09. 18:30,Italy,Spain
03.09. 10:30,Montenegro,Great Britain
03.09. 11:45,Estonia,Portugal
03.09. 13:30,Lithuania,Sweden
03.09. 15:00,Czech Republic,Latvia
03.09. 17:30,Finland,Germany
03.09. 18:15,Turkey,Serbia
04.09. 12:00,Bosnia & Herzegovina,Georgia
04.09. 12:00,France,Iceland
04.09. 15:00,Israel,Slovenia
04.09. 15:15,Italy,Cyprus
04.09. 18:30,Poland,Belgium
04.09. 18:30,Spain,Greece
