date,home,away,home_score,away_score
05.08. 17:30,Portugal,Switzerland,76,62
04.08. 17:30,Angola,Switzerland,75,90
04.08. 17:00,North Macedonia,Montenegro,65,58
04.08. 16:00,Finland,Denmark,79,59
03.08. 16:00,Finland,Denmark,68,72
02.08. 17:00,North Macedonia,Montenegro,59,81
01.08. 16:00,Egypt,Jordan,71,93
01.08. 16:00,Latvia,Slovakia,91,84
01.08. 13:00,Tunisia,Philippines,80,68
29.07. 16:00,Estonia,Iceland,93,72
29.07. 16:00AOT,Tunisia,Philippines,73,74
29.07. 13:00,Egypt,Saudi Arabia,88,78
28.07. 16:00,Jordan,Egypt,67,79
28.07. 10:00,Saudi Arabia,Tunisia,59,72
27.07. 16:00,Jordan,Tunisia,90,77
27.07. 10:00,Saudi Arabia,Philippines,62,77
26.07. 16:00,Jordan,Saudi Arabia,91,81
26.07. 13:00,Philippines,Egypt,60,73
24.07. 17:30,Portugal,Angola,76,83
23.07. 17:30,Portugal,Angola,92,84
22.07. 17:30,Slovakia,Angola,59,86
19.07. 01:00,USA,Spain,83,76
18.07. 04:30,Japan,France,81,75
14.07. 01:30,Australia,Nigeria,108,69
13.07. 22:00,USA,Argentina,108,80
13.07. 00:00,USA,Australia,83,91
12.07. 20:30,Argentina,Nigeria,71,94
11.07. 03:30,Argentina,Australia,84,87
11.07. 00:00,USA,Nigeria,87,90
10.07. 18:30,France,Spain,79,87
09.07. 18:30,Bulgaria U20,USA Univ.,55,86
08.07. 17:30,Spain,France,86,77
05.07. 18:00,Spain,Iran,96,53
03.07. 14:00,Spain,Iran,88,61
27.06. 06:00,Japan,Iran,76,50
25.06. 10:35,Japan,Iran,67,72
24.06. 16:30,Lithuania,Dominican Republic,95,69
24.06. 16:00,Croatia,Puerto Rico,72,66
23.06. 18:00,Croatia,Puerto Rico,74,59
23.06. 18:00,Poland,Brazil,79,85
23.06. 18:00,Serbia,Mexico,81,77
23.06. 16:00,Russia,Dominican Republic,73,83
23.06. 10:00,Japan,Iran,85,57
22.06. 18:00,Poland,Brazil,65,68
22.06. 16:30,Lithuania,Russia,78,61
20.06. 17:00,Greece,Serbia,64,75
20.06. 14:00,Puerto Rico,Mexico,75,72
19.06. 17:00,Greece,Puerto Rico,77,69
19.06. 15:00,Turkey,Russia,64,77
19.06. 14:00,Mexico,Serbia,67,104
18.06. 18:30AOT,Poland,Latvia,75,73
18.06. 18:00,Slovenia,Croatia,97,88
18.06. 17:00,Greece,Mexico,101,98
18.06. 17:00,Turkey,Russia,80,62
18.06. 16:30,Lithuania,Dominican Republic,95,62
18.06. 14:00,Serbia,Puerto Rico,80,68
16.06. 18:00,Poland,Tunisia,89,66
16.06. 17:00,Croatia,Slovenia,80,94
13.06. 18:30,Poland,Russia,63,78
13.06. 16:00,Mexico,Tunisia,74,61
13.06. 10:30,Czech Republic,Finland,93,85
12.06. 18:30,Russia,Tunisia,69,42
12.06. 16:00,Poland,Mexico,80,75
12.06. 10:30,Czech Republic,Finland,78,65
