team,team_nr
Albania,1
Angola,2
Argentina,3
Australia,4
Austria,5
Bahamas,6
Bahrain,7
Belgium,8
Bosnia & Herzegovina,9
Brazil,10
Bulgaria,11
Cameroon,12
Canada,13
Cape Verde,14
Central African Republic,15
Chile,16
China,17
Colombia,18
Croatia,19
Cyprus,20
Czech Republic,21
D.R. Congo,22
Denmark,23
Dominican Republic,24
Egypt,25
Estonia,26
Finland,27
France,28
Georgia,29
Germany,30
Great Britain,31
Greece,32
Guinea,33
Hungary,34
Iceland,35
India,36
Indonesia,37
Iran,38
Iraq,39
Ireland,40
Israel,41
Italy,42
Ivory Coast,43
Japan,44
Jordan,45
Kazakhstan,46
Kosovo,47
Latvia,48
Lebanon,49
Lithuania,50
Luxembourg,51
Mexico,52
Montenegro,53
Netherlands,54
New Zealand,55
Nigeria,56
North Macedonia,57
Norway,58
Panama,59
Philippines,60
Poland,61
Portugal,62
Puerto Rico,63
Qatar,64
Russia,65
Saudi Arabia,66
Senegal,67
Serbia,68
Slovakia,69
Slovenia,70
South Korea,71
South Sudan,72
Spain,73
Sweden,74
Switzerland,75
Syria,76
Tunisia,77
Turkey,78
USA,79
Uganda,80
Ukraine,81
Uruguay,82
Venezuela,83
